НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR077280,4025-10-06 14:18:22,2,CR096079,4025-10-30 11:34:28,325.0
CR077292,4025-10-06 15:11:54,2,CR101615,4026-01-19 10:18:03,44475.0
CR077292,4025-10-06 15:11:54,2,CR102813,4026-02-06 11:10:55,10.0
CR077295,4025-10-06 15:35:43,2,CR095590,4025-10-22 10:43:43,669207.54
CR077295,4025-10-06 15:35:43,2,CR096088,4025-10-30 13:31:25,350.0
CR077312,4025-10-07 08:53:30,2,CR095107,4025-10-14 11:02:24,1840.0
CR077312,4025-10-07 08:53:30,2,CR095108,4025-10-14 11:02:27,4000.0
CR077345,4025-10-07 13:46:26,2,CR095276,4025-10-16 11:52:10,63448.41
CR077345,4025-10-07 13:46:26,2,CR098154,4025-11-28 12:30:38,97631.39
CR077352,4025-10-21 00:00:00,2,CR095213,4025-10-15 16:07:06,5295.0
CR077352,4025-10-21 00:00:00,2,CR102145,4026-01-28 11:30:08,0.0
CR077392,4025-10-08 16:10:03,2,CR096832,4025-11-07 09:53:48,325835.64
CR077392,4025-10-08 16:10:03,2,CR097158,4025-11-13 14:33:18,350.0
